,code,date,p_change
714,002264,2017-09-27,9.99
715,002026,2017-11-07,9.99
716,002104,2017-08-11,10.0
717,600828,2017-11-16,10.0
718,601225,2017-07-19,9.95
719,002094,2017-07-20,10.02
720,601228,2017-10-20,10.07
721,000859,2017-07-04,9.94
722,002551,2017-10-10,10.0
723,600576,2017-08-07,9.99
724,002528,2017-08-16,9.95
725,600975,2017-10-26,9.95
726,600449,2017-07-11,9.97
727,002578,2017-08-07,9.96
728,600503,2017-07-20,9.94
729,600676,2017-10-20,9.99
730,600546,2017-11-28,9.91
731,600546,2017-07-18,10.02
732,600546,2017-07-06,10.11
733,002689,2017-11-16,9.93
734,600408,2017-09-01,10.02
735,000825,2017-08-07,9.96
736,601127,2017-07-19,9.99
737,002527,2017-08-14,9.98
738,002708,2017-07-04,9.96
739,600793,2017-11-29,9.99
740,600793,2017-09-25,9.99
741,002679,2017-10-18,10.01
742,002109,2017-09-14,10.05
743,002109,2017-09-13,10.05
744,000708,2017-09-06,10.0
745,601798,2017-08-15,9.9
746,600152,2017-09-15,9.96
747,600152,2017-09-06,10.0
748,002217,2017-10-23,10.04
749,002625,2017-11-29,9.99
750,002625,2017-11-24,10.01
751,000807,2017-09-20,10.0
752,000807,2017-09-11,10.0
753,000807,2017-07-31,10.0
754,000807,2017-07-19,10.0
755,002338,2017-09-05,9.98
756,002441,2017-09-11,9.97
757,000560,2017-10-17,10.04
758,000560,2017-10-13,10.02
759,000560,2017-08-29,9.99
760,000560,2017-07-26,9.97
761,000829,2017-10-09,10.0
762,600792,2017-09-13,10.07
763,600792,2017-09-01,9.92
764,600792,2017-08-09,10.06
765,600792,2017-08-02,10.04
766,600792,2017-07-19,10.06
767,002063,2017-08-14,10.03
768,600255,2017-09-13,9.91
769,600255,2017-09-12,9.9
770,002724,2017-10-23,10.03
771,600808,2017-08-03,10.11
772,002499,2017-10-13,10.0
773,002300,2017-11-29,9.95
774,000626,2017-08-16,10.01
775,002115,2017-10-09,9.97
776,002249,2017-08-15,9.98
777,002076,2017-10-12,10.04
778,600667,2017-12-01,10.03
779,002447,2017-11-21,9.96
780,000514,2017-07-13,9.99
781,600395,2017-08-09,10.02
782,002818,2017-10-17,9.99
783,600405,2017-09-11,9.95
784,600306,2017-07-21,10.01
785,600789,2017-08-07,10.05
786,000416,2017-11-13,9.99
787,000416,2017-07-20,9.97
788,600526,2017-10-25,10.04
789,600526,2017-10-13,9.99
790,600526,2017-08-23,10.04
791,600119,2017-10-23,10.02
792,600119,2017-10-20,10.03
793,600119,2017-08-03,10.0
794,603777,2017-10-17,10.01
795,600192,2017-09-14,10.0
796,603005,2017-11-28,10.0
